1단계,2단계,3단계,위도(시),경도(시)
제주특별자치도,,,33,126
제주특별자치도,제주시,,33,126
제주특별자치도,제주시,한림읍,33,126
제주특별자치도,제주시,애월읍,33,126
제주특별자치도,제주시,구좌읍,33,126
제주특별자치도,제주시,조천읍,33,126
제주특별자치도,제주시,한경면,33,126
제주특별자치도,제주시,추자면,33,126
제주특별자치도,제주시,우도면,33,126
제주특별자치도,제주시,일도1동,33,126
제주특별자치도,제주시,일도2동,33,126
제주특별자치도,제주시,이도1동,33,126
제주특별자치도,제주시,이도2동,33,126
제주특별자치도,제주시,삼도1동,33,126
제주특별자치도,제주시,삼도2동,33,126
제주특별자치도,제주시,용담1동,33,126
제주특별자치도,제주시,용담2동,33,126
제주특별자치도,제주시,건입동,33,126
제주특별자치도,제주시,화북동,33,126
제주특별자치도,제주시,삼양동,33,126
제주특별자치도,제주시,봉개동,33,126
제주특별자치도,제주시,아라동,33,126
제주특별자치도,제주시,오라동,33,126
제주특별자치도,제주시,연동,33,126
제주특별자치도,제주시,노형동,33,126
제주특별자치도,제주시,외도동,33,126
제주특별자치도,제주시,이호동,33,126
제주특별자치도,제주시,도두동,33,126
제주특별자치도,서귀포시,,33,126
제주특별자치도,서귀포시,대정읍/마라도포함,33,126
제주특별자치도,서귀포시,남원읍,33,126
제주특별자치도,서귀포시,성산읍,33,126
제주특별자치도,서귀포시,안덕면,33,126
제주특별자치도,서귀포시,표선면,33,126
제주특별자치도,서귀포시,송산동,33,126
제주특별자치도,서귀포시,정방동,33,126
제주특별자치도,서귀포시,중앙동,33,126
제주특별자치도,서귀포시,천지동,33,126
제주특별자치도,서귀포시,효돈동,33,126
제주특별자치도,서귀포시,영천동,33,126
제주특별자치도,서귀포시,동홍동,33,126
제주특별자치도,서귀포시,서홍동,33,126
제주특별자치도,서귀포시,대륜동,33,126
제주특별자치도,서귀포시,대천동,33,126
제주특별자치도,서귀포시,중문동,33,126
제주특별자치도,서귀포시,예래동,33,126
