question,contexts,ground_truth,evolution_type,metadata,episode_done
제주여행정보센터에서는 어떤 할인 혜택을 받을 수 있나요?,"['----\n\n## Looking for Jeju Travel Information?  \n### 제주여행 무엇이든 물어보세요!\n\n### Jeju Travel Hot Line  \n064 · 740 · 6000  \n- 한 (Korean)  \n- En (English)  \n- 中 (Chinese)  \n- 日 (Japanese)  \n\n> ""진짜 제주 사람이 들려주는 진짜 제주""\n\n상담시간 : 09:00 ~ 18:00 (연중무휴)\n\n----\n\n* 전문 제주관광 상담인력 보유  \n* 응급상황을 대비한 유관기관 현장 출동 서비스  \n* 카카오톡 플러스친구 [제주관광공사] 검색하여 채팅 상담 가능  \n\nQR 코드 이미지\n\n\n\n\n\n\n# 중문 면세점.\n\n제주관광공사 중문면세점  \nICC JEJU 제주국제컨벤션센터 내  \n이용시간 10:00 - 19:00  \n문의 064-780-7700  \n주소 제주특별자치도 서귀포시 중문관광로 224\n\n----\n\n## 이제 중문, 성산면세점에서  \n### 주류 20%, 최대 50% 할인  \n* 주류 2병 구매 시 20% 할인  \n* 본 행사는 변경될 수 있음\n\n----\n\n## 설레는 선물  \n### ₩10,000  \n중문면세점 방문 시  \n- 10만원 이상 구매 시 1만원 할인  \n- 1인 1매 사용 가능, 중복 할인 불가  \n- 쿠폰명: 웰컴포켓북 할인혜택  \n- 중문면세점 방문 후 안내데스크에서 제시해 주세요\n\n\n\n\n\n\n주류성지 THE JEJU DUTY FREE 제주관광공사면세점 중문점 성산�']","제주여행정보센터에서는 특정 품목 20% 할인, 최대 50% 할인 등 다양한 할인 혜택을 받을 수 있습니다. 구체적으로 두 가지 품목에 대해 20% 할인이 적용되며, 최대 할인은 특정 조건에 따라 적용될 수 있다는 점을 참고하세요.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
신도항의 위치와 의미는 무엇인가요?,"[""## 드라마 '이상한 변호사 우영우' 촬영지  \n### 신도포구 SHINDO PORT  \n- 주소: 제주 서귀포시 대정읍 신도리 3046-2  \n- 가격: 무료  \n제주올레 12코스 중 하나. 용암으로 인해 자연적으로 형성되어 나무 또는 돌의 속을 동그랗게 파놓은 형태로 말미나 도또 돼지의 먹이통으로 불리는 도구리를 발견할 수 있고, 도구리 안의 원형 바닷물이 장관을 이루는 포구  \n\n\n\n\n\n\n\nK-CONTENTS | K-Media\n\n# K-CONTENTS | K-Media\n\n----\n\n### 드라마 ‘이상한 변호사 우영우’ 촬영지\n\n#### 📍 5.16터널숲  5.16 TUNNEL FOREST  \n**주소** 제주 서귀포시 남원읍 신례천로 267-110  \n**가격** 무료  \n한라산 성판악 휴게소를 기점으로 서귀포 방향으로 구불구불한 길을 따라가다 2.6km 지점에서부터 약 1.2km 가량에 이르는 도로 주변에 상록수와 낙엽수가 아치형으로 도로를 감싸고 있는 듯한 숲 터널\n\n----\n\n### 드라마 ‘우리들의 블루스’ 촬영지\n\n#### 📍 금능해수욕장  GEUMNEUNG BEACH  \n**주소** 제주 제주시 한림읍 금능길 119-10  \n**가격** 무료  \n제주도 서쪽의 대표 해수욕장으로 파란 물감을 풀어놓은 �""]","신도항은 주장성동 3046-2번지에 위치하고 있으며, 특히 관광과 교통 등 지역 경제에서 차지하는 역할이 매우 중요합니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}],True
ICC JEJU는 어떤 서비스를 제공하나요?,['경 개선  \n- www.visitjeju.or.kr  \n\n----\n\n### 제주국제컨벤션센터 (ICC JEJU)  \n- 컨벤션센터 운영 및 마이스산업 육성·진흥  \n- www.iccjeju.co.kr  \n\n### 제주테크노파크 (JTP)  \n- 기술혁신을 통한 제주의 산업발전과 기업지원  \n- www.jejutp.or.kr  \n\n----\n\n### 제주경제통상진흥원  \n- 제주의 중소기업과 소상공인의 경영 지원  \n- www.jba.or.kr  \n\n### 제주농촌융복합산업지원센터  \n- 농업의 6차산업화를 통한 미래성장산업 육성  \n- www.제주6차산업.com  \n\n----'],주어진 질문에 대한 답변이 컨텍스트에 없습니다.,simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
제주에서 K-콘텐츠에는 어떤 카테고리가 있나요?,"['2024\n\n# K-Contents  \n*in* _JEJU_  \nEXPERIENCE  \nAMAZING\n\n  \nJeju Special Self-Governing Province 제주특별자치도  \nJEJU TOURISM ORGANIZATION 제주관광공사  \n\n\n\n\n\n\n# K-Contents  \n## *in JEJU*\n\n제주의 다양한 한류콘텐츠를 소개하는 여행 가이드입니다.\n\n제주의 아름다운 자연과 관광지를 소개하는 **K-Media in Jeju**  \n제주의 유명 식당 및 카페를 소개하는 **K-Food in Jeju**  \n제주에서만 즐길 수 있는 엑티비티를 소개하는 **K-Activities in Jeju**  \n제주 자연과 어우러진 휴식 공간을 소개하는 **K-Healing in Jeju**\n\n제주도의 대표 한류 관광지들과 함께  \nK-콘텐츠 속 또 다른 주인공이 되어보세요.\n\n**EXPERIENCE AMAZING**  \nK-CONTENTS in JEJU\n\n----\n\n### 04  \n**K-contents**  \n- K-Media  \n- K-Food  \n- K-Activities  \n- K-Healing  \n\n### 24  \n**Spot by Field**  \n- BTS  \n- K-POP  \n- Drama  \n\n### 30  \n**Recommended Course**  \n- Friends Course  \n- Family Course  \n- Rainy Course  \n- Natural Course  \n\n\n\n\n\n\nK-CONTENTS | K-Media    K-CONTENTS | K-Media\n\n# K-Media\n\nK-POP 가수와 드라마,  \n방송에서 배우들이 함께 즐겼던  \n제주도의 아름다운 자연과 관광지를 소개 합니다.\n\n----']","제주에서 K-콘텐츠에 포함된 카테고리는 K-미디어, K-푸드, K-액티비티, K-힐링입니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}],True
제주 전통 요리의 특징은 무엇인가요?,"['연을 거스르지 않고 조화를 이루면서 있는 제주건축은 또하나의 새로운 볼거리를 만들어 낸다.  \n━  \n* 제주현대미술관  \n* 제주월드컵경기장  \n* 다음커뮤니케이션 본사  \n* 포도호텔  \n* 해심헌  \n* 성읍민속마을  \n* 제주목관아\n\n----\n\n### 제주7대 체험거리  \n체험은 색다른 경험과 스릴을 안겨준다. 제주여행에서의 기분 좋은 추억을 만들어 줄 것이다.  \n━  \n* 한라산·오름 등반  \n* 올레길·숲길 걷기  \n* 청정농촌(감귤 따기, 고사리 꺾기)체험  \n* 해양레저(잠수함, 유람선, 요트, 배 낚시)체험  \n* 해안도로 드라이브, 자전거·스쿠터 체험  \n* 섬 속의 섬 여행  \n* 승마 체험\n\n\n\n\n\nAbout Jeju\n\n# 제주의 날씨와 환경']","제주 전통 요리의 특징으로는 현지 식재료 사용, 독특한 조리 방법, 지역 문화와 환경을 반영하는 특정 요리 등이 있습니다. 전통 요리의 예로는 해산물, 현지 채소, 제주의 풍미를 강조하는 특정 조리 기법 등이 있습니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
제주도의 맥락에서 문화유산이 갖는 의미는 무엇인가요?,"['# 한림공원\n- 📍 제주시 한림읍 한림로 300  \n협재굴과 쌍용굴, 제주 전통 초가를 구경할 수 있는 곳. 사파리 조류공원에서는 원앙과 공작새, 앵무새, 꿩 등을 수석관에서는 제주도 특유의 수석을 볼 수 있다. 연꽃 과 수련 등이 가득한 연못 정원과 아열대 식물원도 있다.\n\n# 함덕해수욕장\n- 📍 제주시 조천읍 조함해안로 525  \n키 큰 야자수들, 하얀 모래와 대조를 이루는 에메랄드빛 바다로 유명하다. 물이 맑고 수심이 얕아서 가족단위 피서지로도 좋으며, 바로 옆에 자리한 서우봉에 오르면 함덕해수욕장을 한눈에 담을 수 있는 호사를 누릴 수 있다.\n\nJEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 협재해수욕장\n- 위치: 제주시 한림읍 협재리 2497-1  \n제주 서쪽 해수욕장 중 1, 2위에 꼽히는 해수욕장. 어린왕자 동화 속 보아 뱀 형태의 비양도와 에메랄드빛 바다와 하얀 백사장 풍경이 아름답다. 경사가 완만해 수심이 낮아 어린아이와 해수욕을 즐기기 좋다.\n\n# 황우지해안\n- 위치: 서귀포시 서홍동 795-2  \n서귀포의 대표적인 관']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
제주도 포켓북의 용도는 무엇인가요?,"['JEJU ISLAND POCKET BOOK\n\n\n\n\n\n# 젊은 층도 자주 사용하는 제주어\n\n<table>\n    <tr>\n        <td>제주어</td>\n<td>뜻풀이</td>\n    </tr>\n<tr>\n        <td>뭐허멘?</td>\n<td>뭐하니?</td>\n    </tr>\n<tr>\n        <td>가이, 자이, 야이</td>\n<td>걔, 쟤, 얘</td>\n    </tr>\n<tr>\n        <td>기</td>\n<td>그래</td>\n    </tr>\n<tr>\n        <td>뒌</td>\n<td>됐어</td>\n    </tr>\n<tr>\n        <td>허쿠다</td>\n<td>하겠습니다</td>\n    </tr>\n<tr>\n        <td>잘도</td>\n<td>정말, 엄청</td>\n    </tr>\n<tr>\n        <td>벨라지다</td>\n<td>바라지다</td>\n    </tr>\n<tr>\n        <td>-멘 예) 나 일허멘.</td>\n<td>-고 있어 예)나 일 하고 있어.</td>\n    </tr>\n</table>\n\n## 인사말']",주어진 질문에 대한 답변이 컨텍스트에 없습니다.,simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
위험 물질 취급 시 안전 조치에 관한 핵심 사항은 무엇인가요?,"['- [x] **복합형 오름** (39개)  \n  복합형 오름은 화구가 2개 이상으로 조합되어 있는 형태로서 원형 분화구와 말굽형 분화구를 2개 이상에서 5개까지가 한 화산체에 밀집된 형태를 말한다. 특히 오름 정상부 분화구 내 물이 차 있어서 호수 등 습지 형태의 산정화구호(山頂火口湖)를 갖는 오름이 9개나 있다.\n\n\n\n\n\n# 오름 트레킹 가이드\n\n## 탐방객이 지켜야 할 안전수칙\n- 지정된 탐방로 외에는 들어가지 않는다.\n- 위험에 노출되기 쉽고 안전사고의 원인이 되며, 산란기나 동면기, 해빙기 등 야생동물의 서식에 많은 영향을 미치므로 야간산행을 하지 않는다.\n- 자신의 체력에 맞지 않은 무리한 산행은 소중한 생명을 위협할 수 있다.\n- 산행 시에는 사전에 탐방하고자 하는 지역의 정보를 확인한다.  \n  (소요시간, 일몰시간, 기상특보, 교통편 등)\n- 야생식물이나 버섯을 함부로 먹지 않는다.\n- 반드시 준비운동 후 산행을 한다.\n- 안전사고자가 발생한 경우에는 119 구조대, 경찰서 등 관계기관에 즉�']","위험 물질 취급 시 안전 조치에 관한 핵심 사항은 다음과 같습니다: 1) 위험 물질에 노출되지 않도록 하기, 2) 작업 공간에서 적절한 환기 조치하기, 3) 적절한 개인 보호 장비(PPE) 사용하기, 4) 안전보건자료를 항상 비치하기, 5) 위험 물질 취급 구역에서 음식물 섭취 금지하기, 6) 사고 발생 시 비상 절차 따르기, 7) 안전하지 않은 상태 발견 시 즉시 보고하기 등이 있습니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주오름.md'}],True
K-미디어의 맥락에서 K-POP은 어떤 역할을 하나요?,"[""K-CONTENTS | K-Media    K-CONTENTS | K-Media\n\n# K-Media\n\nK-POP 가수와 드라마,  \n방송에서 배우들이 함께 즐겼던  \n제주도의 아름다운 자연과 관광지를 소개 합니다.\n\n----\n\n### [트와이스] '시그널' 뮤직비디오 촬영지  \n#### 환상숲 곶자왈공원  \nHWANSANG FOREST GOTJAWAL PARK  \n- 주소: 제주 제주시 한경면 녹차분재로 594-1  \n- 가격: 성인 5,000원, 어린이 4,000원  \n- 홈페이지: hwansangforest.modoo.at  \n\n<2021 제주 웰니스 관광지(자연/숲 치유)> 선정  \n다양한 식물이 공존하며 자연 그대로의 모습을 간직한 공원으로 '숲 해설' 체험 프로그램을 통해 50분 가량 천천히 걸으며 마음의 여유를 찾을 수 있는 곳\n\n----\n\n### [BTS 지민] 여행 중 바다를 보고 싶어 들린 곳  \n#### 협재해수욕장  \nHYEOPJAE BEACH  \n- 주소: 제주 제주시 한림읍 협재리 2497-1  \n- 가격: 무료  \n\n제주도 서쪽의 대표 해수욕장으로 에메랄드빛 물감을 풀어놓은 듯한 투명한 바다와 소나무 숲이 있으며, 수심이 얕아 어린이가 있는 가족 단위 여행객의 휴가지로 좋은 해수욕장\n\n----\n\n### [트와이스] '시그널' 뮤직비디오 촬영지  "", ""K-CONTENTS | K-Media    K-CONTENTS | K-Media\n\n# 드라마 '우리들의 블루스, 웰컴 투 삼달리' 촬영지\n\n----\n\n## 가파도 GAPADO  \n**주소** 제주 서귀포시 대정읍 가파로  \n**가격** 왕복 성인 14,500원, 청소년 14,300원, 소인 7,300원  \n해상공원입장료 성인 1,000원, 청소년 800원, 소인(미취학 면제) 500원  \n\n제주도 부속 섬 중 4번째로 큰 섬으로 오르막길이 없어 1~2시간이면 섬 전체를 도보로 둘러볼 수 있고, 매년 4월 초에서 5월 초 청보리 축제가 열리는 섬\n\n----\n\n## 비밀의 숲 SECRET FOREST  \n**주소** 제주 제주시 구좌읍 송당리 2173  \n**가격** 성인 4,000원, 65세 이상 3,000원, 7세 이하 2,000원, 3세 이하 무료  \n\nSNS에서 포토존으로 유명해진 자연 숲길 명소, 희귀 편백나무 숲부터 넓은 초원, 돌담과 오두막 등 다채로운 구성과 제주도만의 감성을 담은 포토스팟들이 있으며, 특히 유채꽃과 핑크 물리 등 사계절 아름다운 자연을 구경할 수 있는 곳\n\n----\n\n## 신산신양 해안도로 SHINSAN SHINYANG COASTAL ROAD  \n**주소** 제주 서귀포시 성산읍 신고로  \n**가격** 무료  \n\n성산일출봉이 배경이 되는 아름다운 �""]",K-POP은 관객의 관심과 참여를 유도하는 대표적인 장르로서 문화와 엔터테인먼트의 다양한 측면에 영향을 미치며 K-미디어에서 중요한 역할을 담당하고 있습니다.,simple,"[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}, {'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주한류컨텐츠.md'}]",True
4월부터 6월까지 제주의 계절별 날씨 패턴의 특징은 무엇인가요?,"['About Jeju\n\n# 제주의 날씨와 환경\n\n대한민국 최고의 휴양지인 제주도는 내륙에 비해 대체로 포근한 편이지만, 환절기에는 기온차가 크고 여름에는 높은 습도를 자랑하는 변화무쌍한 섬이다.\n\nLeft image: 돌담과 푸른 들판, Right image: 해변과 파라솔이 있는 바다 풍경\n\n## 제주의 봄 (3월~5월)\n\n* 포근한 공기와 따뜻한 햇살이 함께해 여행의 최적기로 꼽힌다.\n* 매화, 유채꽃, 벚꽃 등 모두 나열할 수 없을 만큼 많은 생명들이 움트는 제주의 봄.\n* 일교차가 심한 날들이 많으니 얇은 겉옷이나 스카프 등을 반드시 챙기도록 하자.\n\n<table>\n  <thead>\n    <tr>\n      <th>월</th>\n      <th>3월</th>\n      <th>4월</th>\n      <th>5월</th>\n    </tr>\n  </thead>\n  <tbody>\n    <tr>\n      <td>최고/최저기온</td>\n<td>21.9℃ ~ 4.2℃</td>\n<td>24.9℃ ~ 5.4℃</td>\n<td>29.7℃ ~ 12.1℃</td>\n    </tr>\n<tr>\n      <td>평균기온</td>\n<td>11.6℃</td>\n<td>15℃</td>\n<td>19.9℃</td>\n    </tr>\n  </tbody>\n</table>\n\n## 제주의 여름 (6월~8월)\n\n* 내리쬐는 햇볕과 시원한 바다의 풍경이 어우러지는 계절이다.\n* 습하며 장마로 인한 폭우나 태풍이 오는 경우가 �']","4월부터 6월까지 제주의 계절별 날씨 패턴의 특징은 기온이 다양하며, 4월 평균 최고기온은 21.9°C에서 4.2°C, 5월은 24.9°C에서 5.4°C, 6월은 29.7°C에서 12.1°C의 기온 분포를 보입니다. 또한 강수량은 4월 평균 11.6°C, 5월 15°C, 6월 19.9°C로 강수량 수준도 주목할 만합니다.",simple,[{'source': '/Users/lwj0831/jesafe/data/processed_md_originals/제주공식관광가이드북.md'}],True
